stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\User\Documents\CSI2P-Final-Project-Template\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.31662] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31665] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31668] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31670] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31673] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.31675] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31678] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.31681] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31684] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.31686] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31689] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.31691] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31694] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31706] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31709] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31711] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31714] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.31716] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31719] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.31721] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31724] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.31726] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31729] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.31731] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31734] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31736] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31739] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31741] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31744] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.31746] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31749] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.31751] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31754] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.31756] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31759] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.31761] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31764] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31766] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31769] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31771] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31774] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.31776] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31779] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.31781] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31784] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.31786] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31789] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.31792] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31795] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31797] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31800] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31802] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31805] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.31807] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31810] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.31812] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31815] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.31817] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31820] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.31822] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31825] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31827] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31830] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31832] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31835] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.31837] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31840] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.31842] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31845] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.31847] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31849] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.31852] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31854] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31857] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31859] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31861] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31864] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.31866] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31869] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.31872] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31874] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.31877] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31879] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.31882] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31884] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31887] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.31889] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.31891] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31894] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.31896] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31899] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.31902] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31905] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.31907] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.31909] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.31912] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.31914] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31917] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.31920] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31922] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31925] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31927] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31930] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31932] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31935] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31937] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31940] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31942] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.31945] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31951] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.31954] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31956] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31959] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31961] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31964] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31967] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31969] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31972] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31974] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31977] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.31979] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31982] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.31984] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31987] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31989] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31992] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31994] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.31997] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.31999] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32003] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32006] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32008] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32012] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32014] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32017] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32019] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32022] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32024] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32027] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32032] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32035] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32037] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32040] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32042] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32045] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32047] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32050] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32052] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32055] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32057] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32060] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32062] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32065] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32067] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32070] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32072] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32075] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32077] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32080] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32082] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32085] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32087] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32090] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32092] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32095] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32097] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32100] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32102] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32105] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32111] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32114] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32116] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32119] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32122] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32125] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32127] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32130] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32132] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32135] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32137] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32140] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32142] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.32145] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32147] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32150] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32152] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32155] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32157] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32160] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32163] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.32165] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.32168] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32171] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32173] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32176] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32178] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32181] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.32183] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32186] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.32188] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32191] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.32193] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32196] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.32198] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32201] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32203] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32206] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32208] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32211] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.32213] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32215] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.32218] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32220] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.32223] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32225] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.32228] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32230] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32234] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32236] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32239] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32241] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.32243] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32246] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.32248] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32251] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.32253] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32256] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.32258] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32261] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32263] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32266] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.32268] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32271] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.32273] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32276] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.32278] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
